epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.715,1.989,2.80937,1.59339,0.60041,0.54348,0.54624,0.23298,1.85059,2.26033,1.56595,0.00331461,0.00331461,0.00331461
2,753.449,1.82968,1.97144,1.41582,0.58119,0.48206,0.507,0.22131,1.82535,2.1624,1.45515,0.00662914,0.00662914,0.00662914
3,1252.1,1.85713,1.9056,1.39431,0.43988,0.41132,0.38931,0.16666,1.89003,2.06154,1.47012,0.00992481,0.00992481,0.00992481
4,1712.91,1.89299,1.88379,1.40272,0.49809,0.43271,0.42464,0.1732,1.87946,1.96266,1.42272,0.00991514,0.00991514,0.00991514
5,2185.43,1.87779,1.80158,1.40379,0.57478,0.45342,0.47894,0.20763,1.84896,1.97246,1.44084,0.00988686,0.00988686,0.00988686
6,2661.07,1.84553,1.72014,1.39014,0.61479,0.49724,0.54076,0.23372,1.89212,1.71381,1.51039,0.00985857,0.00985857,0.00985857
7,3130.69,1.84209,1.64486,1.39033,0.55333,0.47447,0.50084,0.2146,1.92173,1.71722,1.46334,0.00983029,0.00983029,0.00983029
8,3592.52,1.8149,1.59967,1.37739,0.62554,0.51622,0.56715,0.25739,1.82577,1.64768,1.41341,0.009802,0.009802,0.009802
9,4044.07,1.80879,1.58161,1.35985,0.67063,0.56004,0.61042,0.27299,1.81879,1.52086,1.3988,0.00977371,0.00977371,0.00977371
10,4521.95,1.80226,1.54819,1.36229,0.65686,0.52346,0.57521,0.25451,1.85649,1.57139,1.45189,0.00974543,0.00974543,0.00974543
11,5041.91,1.79087,1.50104,1.35455,0.70261,0.57639,0.64594,0.29756,1.7772,1.43222,1.41663,0.00971714,0.00971714,0.00971714
12,5601.12,1.7735,1.47427,1.34046,0.72611,0.59662,0.67427,0.30501,1.80619,1.40369,1.39312,0.00968886,0.00968886,0.00968886
13,6113.59,1.75563,1.42887,1.33382,0.7032,0.59351,0.67155,0.30717,1.79134,1.3882,1.40449,0.00966057,0.00966057,0.00966057
14,6554.42,1.74457,1.41544,1.32836,0.72066,0.59021,0.66652,0.30944,1.77944,1.40628,1.39643,0.00963229,0.00963229,0.00963229
15,7574.07,1.74576,1.40564,1.32755,0.71456,0.61246,0.68946,0.3234,1.76868,1.3896,1.39088,0.009604,0.009604,0.009604
